# P7 训练数据 A→B 句对
# 格式: A词序列 (空格分隔) | B词序列 (空格分隔)
# 目标: 模型学会A中哪些词触发了B中哪些词

我 喜欢 苹果|你 喜欢 什么
我 喜欢 苹果|谁 喜欢 苹果
他 吃 米饭|他 吃 什么
他 吃 米饭|谁 吃 米饭
你 喜欢 电影|我 喜欢 电影
你 喜欢 音乐|我 也 喜欢 音乐
我 看 书|你 看 什么
我 看 书|谁 看 书
他 喜欢 游戏|他 喜欢 什么
他 喜欢 游戏|谁 喜欢 游戏
你 吃 饭|我 吃 饭
你 吃 饭|你 吃 什么
我 喝 茶|你 喝 什么
我 喝 茶|谁 喝 茶
他 看 电影|他 看 什么
他 看 电影|谁 看 电影
你 写 字|我 写 字
你 写 字|你 写 什么
我 画 画|你 画 什么
我 画 画|谁 画 画
他 唱 歌|他 唱 什么
他 唱 歌|谁 唱 歌
你 学习 知识|我 学习 知识
你 学习 知识|你 学习 什么
我 帮助 朋友|你 帮助 谁
我 帮助 朋友|谁 帮助 朋友
他 建设 城市|他 建设 什么
他 建设 城市|谁 建设 城市
你 制造 产品|我 制造 产品
你 制造 产品|你 制造 什么
